0.356372	39	51	356.372
0.34448	28	51	344.48
0.35293	57	51	352.93
0.397779	51	50	397.779
0.346316	39	49	346.316
0.342146	26	48	342.146
0.325909	21	47	325.909
0.316763	117	46	316.763
0.374713	57	45	374.713
0.320165	112	44	320.165
0.328397	84	43	328.397
0.314697	22	42	314.697
0.319487	24	41	319.487
0.324753	24	40	324.753
0.323054	21	39	323.054
0.321213	12	38	321.213
0.318306	15	36	318.306
0.320278	45	34	320.278
0.327218	13	33	327.218
0.325663	6	32	325.663
0.321109	20	31	321.109
0.323215	34	30	323.215
0.339261	41	29	339.261
0.330369	14	28	330.369
0.325629	22	27	325.629
0.333116	51	26	333.116
0.335207	41	24	335.207
0.33482	30	22	334.82
0.321557	7	20	321.557
0.326732	37	18	326.732
0.328938	53	17	328.938
0.327963	64	17	327.963
0.338191	24	17	338.191
0.326671	20	17	326.671
0.356655	11	17	356.655
0.338721	10	17	338.721
0.328678	5	17	328.678
0.334608	70	17	334.608
0.322765	27	17	322.765
0.340512	31	17	340.512
0.325355	25	17	325.355
0.333412	5	17	333.412
0.348924	75	17	348.924
0.346596	81	17	346.596
0.321339	89	17	321.339
0.324607	62	17	324.607
0.322178	53	17	322.178
0.325393	64	17	325.393
0.323811	3		323.811
number of tracks: 50			
0.331086	12	12	
0.326476	69	12	
0.328374	72	12	
0.329449	58	12	
0.328715	87	12	
0.326917	68	12	
0.338512	59	12	
0.329902	97	12	
0.331611	91	12	
0.358024	95	12	
0.327927	118	12	
0.327471	28	12	
0.332692	69	12	
0.324931	81	12	
0.330551	33	12	
0.330316	28	12	
0.32609	43	12	
0.34275	28	12	
0.335877	16	12	
0.326399	39	12	
0.335116	60	12	
0.330439	20	12	
0.33275	47	12	
0.344503	34	12	
0.366012	39	12	
0.310097	15	12	
0.246486	53	12	
0.244691	47	12	
0.322331	16	12	
0.236868	26	12	
0.240145	39	12	
0.277593	16	12	
0.251628	29	12	
0.247018	21	12	
0.258002	61	12	
0.241661	53	12	
0.243886	26	12	
0.315823	36	12	
0.291192	56	12	
0.251519	46	12	
0.27988	17	12	
0.305243	34	12	
0.263459	2	12	
0.281086	53	12	
0.240627	58	12	
0.296556	67	12	
0.239743	32	12	
0.26461	44	12	
0.309987	90	12	
0.286997	58		
number of tracks: 50			
0.310868	42	42	
0.308597	40	42	
0.284746	9	42	
0.251861	30	41	
0.277504	16	40	
0.307851	14	39	
0.289869	8	37	
0.238403	40	35	
0.240263	28	34	
0.241227	28	33	
0.238362	10	32	
0.240262	20	31	
0.247974	46	29	
0.25625	33	27	
0.241806	35	25	
0.241677	40	23	
0.2381	25	21	
0.243116	12	20	
0.237873	15	19	
0.237898	5	15	
0.273503	13	12	
0.248159	14	10	
0.312943	7	9	
0.301325	16	8	
0.296764	14	7	
0.299474	13	7	
0.294094	26	7	
0.29739	27		
